describe,direct,name,point0,point1,pointnum,rank,role,type
1947年，年轻有为的大银行副总裁安迪（蒂姆·罗宾斯 饰）因涉嫌枪杀妻子和与之偷情的高尔夫球教练被判处两个无期徒刑，他将在..,弗兰克·德拉邦特,肖申克的救赎 The Shawshank Redemption (1994),9,.2, 62786人评分  ,1,蒂姆·罗宾斯,"犯罪,剧情"
本片被定义为“发生在意识结构内的当代动作科幻片”，诺兰继《黑暗骑士》后再次给我们带来惊喜，带观众游走于梦境与现实之间。,克里斯托弗·诺兰,盗梦空间 Inception (2010),9,.1, 69837人评分  ,2,莱昂纳多·迪卡普里奥,"动作,冒险,科幻"
他是一个占据着成年人躯体的幼童、一个圣贤级的傻子、一个超越真实的普通人、一个代表着民族个性的小人物。,罗伯特·泽米吉斯,阿甘正传 Forrest Gump (1994),9,.1, 51971人评分  ,3,汤姆·汉克斯,"喜剧,剧情,爱情"
describe,direct,name,point0,point1,pointnum,rank,role,type
1947年，年轻有为的大银行副总裁安迪（蒂姆·罗宾斯 饰）因涉嫌枪杀妻子和与之偷情的高尔夫球教练被判处两个无期徒刑，他将在..,弗兰克·德拉邦特,肖申克的救赎 The Shawshank Redemption (1994),9,.2, 62786人评分  ,1,蒂姆·罗宾斯,"犯罪,剧情"
本片被定义为“发生在意识结构内的当代动作科幻片”，诺兰继《黑暗骑士》后再次给我们带来惊喜，带观众游走于梦境与现实之间。,克里斯托弗·诺兰,盗梦空间 Inception (2010),9,.1, 69837人评分  ,2,莱昂纳多·迪卡普里奥,"动作,冒险,科幻"
他是一个占据着成年人躯体的幼童、一个圣贤级的傻子、一个超越真实的普通人、一个代表着民族个性的小人物。,罗伯特·泽米吉斯,阿甘正传 Forrest Gump (1994),9,.1, 51971人评分  ,3,汤姆·汉克斯,"喜剧,剧情,爱情"
德国投机商人辛德勒为了赚钱，在自己的工厂中使用廉价的犹太人。面对纳粹的屠杀，辛德勒开始想法保护尽可能多的犹太人。,史蒂文·斯皮尔伯格,辛德勒的名单 Schindler's List (1993),9,.1, 24287人评分  ,4,连姆·尼森,"传记,剧情,历史"
1945年夏天，美国本部黑手党科莱昂家族首领，“教父”维托·唐·科莱昂为小女儿康妮举行了盛大的婚礼。“教父”有三个儿子：好..,弗朗西斯·福特·科波拉,教父 The Godfather (1972),9,.1, 21915人评分  ,5,马龙·白兰度,"犯罪,剧情"
日本的太地町是一个风光秀丽的美丽海湾，然而每年这里有23000头海豚被日本渔民捕杀。本片对这一残忍的行为进行谴责。,路易·西霍尤斯,海豚湾 The Cove (2009),9,.1, 8104人评分  ,6,里克·奥巴瑞,"纪录片,犯罪"
WALL·E已经在地球上孤独地生活几百年了，他爱上了自己遇见的第一个机器人伊芙，并跟随着她展开了一场充满奇幻的太空之旅。,安德鲁·斯坦顿,机器人总动员 WALL·E (2008),9,.0, 52571人评分  ,7,本·贝尔特,"剧情,科幻,冒险"
本片是吕克·贝松在好莱坞执导的第一部作品，非同一般的剧情、人物的精彩演出及出色的配乐使其成为九十年代动作片的经典之作。,吕克·贝松,这个杀手不太冷 Léon (1994),9,.0, 51622人评分  ,8,让·雷诺,"犯罪,剧情,惊悚"
影片围绕两个京剧艺人半个世纪的悲欢离合，展现了对传统文化、人的生存状态及人性的思考与领悟。,陈凯歌,霸王别姬 Farewell My Concubine (1993),9,.0, 30372人评分  ,9,张国荣,"爱情,剧情,音乐"
本片是为热爱电影的电影工作者、电影观众而精心制作的一部关于电影的礼赞，荣获戛纳影展特别评委奖及奥斯卡最佳外语片奖。,朱塞佩·托纳多雷,天堂电影院 Nuovo cinema Paradiso (1988),9,.0, 17301人评分  ,10,菲利浦·诺瓦雷,剧情
describe,direct,name,point0,point1,pointnum,rank,role,type
在壮丽的时代画卷上演绎出一个极不寻常的爱情故事，开创了以真实而辽阔的历史背景加虚构人物故事的爱情史诗片先河。,乔治·库克,乱世佳人 Gone with the Wind (1939),9,.0, 9112人评分  ,11,费雯·丽,"剧情,历史,爱情"
这部以陪审团为主角的法庭戏节奏利落，结构紧凑，主题严肃，丝毫不因故事场景的局限性而显得沉闷，而且众多演员均有精彩表演。,西德尼·吕美特,十二怒汉 12 Angry Men (1957),9,.0, 6054人评分  ,12,亨利·方达,剧情
影片以1912年泰坦尼克号邮轮在其处女启航时触礁冰山而沉没的事件为背景，描述了处于不同阶层的两个人——穷画家杰克和贵族女露..,詹姆斯·卡梅隆,泰坦尼克号 Titanic (1997),8,.9, 61357人评分  ,13,莱昂纳多·迪卡普里奥,"剧情,爱情"
这部具强烈芬奇色彩、以死亡为主题的黑色喜剧一反好莱坞商业片模式，映像狂放，手法天马行空，情景怪诞核突，可谓一部视觉杰作。,大卫·芬奇,搏击俱乐部 Fight Club (1999),8,.9, 27485人评分  ,14,爱德华·诺顿,剧情
《美国往事》并不是一部风格明显的类型片，从某种程度上说这是一部纯粹的作者电影，它承载了赛尔乔·莱翁内所有的“美国情结”。,赛尔乔·莱昂内,美国往事 Once Upon a Time in America (1984),8,.9, 9893人评分  ,15,罗伯特·德尼罗,剧情
本片既是第一集的前传，也是续集。一方面，年轻的维托展现出前辈教父的创业史，另一方面，迈克作为新一代将黑手党家族现代化。,弗朗西斯·福特·科波拉,教父2 The Godfather: Part II (1974),8,.9, 9713人评分  ,16,阿尔·帕西诺,"惊悚,剧情,犯罪"
法国导演雅克·贝汉与雅克·克鲁佐德深入探索这个覆盖着地球表面的四分之三的“蓝色领土”，完整地呈现海洋的壮美辽阔。,雅克·贝汉,海洋 Océans (2009),8,.9, 7512人评分  ,17,雅克·贝汉,"纪录片,剧情"
黑泽明第一部真正加入西片趣味的时代剧，描写日本战国时代，贫穷百姓为保卫家园，与雇来的七位武士联手击退强盗的故事。,黑泽明,七武士 The Seven Samurai (1954),8,.9, 3173人评分  ,18,三船敏郎,"动作,剧情"
在未来世界，人类为取得潘多拉星球的资源，开启了阿凡达计划。前海军队员杰克奉命出发，然而这最终是一段探索与救赎的旅程。,詹姆斯·卡梅隆,阿凡达 Avatar (2009),8,.8, 67836人评分  ,19,萨姆·沃辛顿,"动作,冒险,奇幻"
一名具有钢琴天赋的孤儿历经一切的苦难：音乐、爱情及两次大战，但他从未放弃过他生长的地方。一部荡气回肠的诗意旅程电影。,朱塞佩·托纳多雷,海上钢琴师 The Legend of 1900 (1998),8,.8, 38432人评分  ,20,蒂姆·罗斯,"剧情,音乐,爱情"
兰乔对大学填鸭式的教育十分不满，在他的引导下，其他两个朋友也对自己的人生有了新的规划，然而毕业后，兰乔选择了消失……,拉库马·希拉尼,三傻大闹宝莱坞 Three Idiots (2009),8,.8, 31089人评分  ,21,阿米尔·汗,"冒险,喜剧,剧情"
本片为导演诺兰一手打造的“新蝙蝠侠三部曲”最终章，蝙蝠侠将遇到神秘的猫女以及戴面具的恐怖分子贝恩…,克里斯托弗·诺兰,蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises (2012),8,.8, 28609人评分  ,22,克里斯蒂安·贝尔,"动作,惊悚"
影片发生在不远的未来，地球气候已经不适合粮食生长，水资源枯竭，饥荒肆掠，人类面临着灭绝的威胁。这时科学家们发现了一个神..,克里斯托弗·诺兰,星际穿越 Interstellar (2014),8,.8, 28377人评分  ,23,马修·麦康纳,"冒险,剧情,科幻"
印度少年派出海后遭遇灾难，身边只有一艘救生艇跟一只凶猛的孟加拉虎。派有可能度过这场灾难吗？他要如何和这只老虎共处呢？,李安,少年派的奇幻漂流 Life of Pi (2012),8,.8, 27225人评分  ,24,苏拉·沙玛,"冒险,剧情,奇幻"
影片讲述了一个发生在两位笔友之间的非常简单的故事。玛丽·丁克尔（托妮·科莱特 配音）是一个居住在墨尔本市区的胖乎乎的有..,亚当·艾略特,玛丽和马克思 Mary and Max (2009),8,.8, 13844人评分  ,25,托妮·科莱特,"动画,喜剧,剧情"
故事讲述一位大学教授（理查·基尔饰）收养了一只小秋田犬，取名“八公”。之后的每天，八公早上将教授送到车站，傍晚等待教授..,莱塞·霍尔斯道姆,忠犬八公的故事 Hachi (2009),8,.8, 13318人评分  ,26,理查·基尔,"家庭,剧情"
这是一部纪录迈克尔·杰克逊在生前准备告别演唱会的影片，完整呈现他对演唱会每个环节事必躬亲参与并提供创意的各个细节。,肯尼·奥特加,迈克尔·杰克逊：就是这样 This Is It (2009),8,.8, 12977人评分  ,27,迈克尔·杰克逊,"纪录片,音乐"
高高的天空中有一群云朵，他们像女娲一样捏出一个个小婴儿，让送子鹳带入千家万户。而他们之中有一朵忧伤的“阴云”Gus，他总..,彼得·索恩,暴力云与送子鹳 Partly Cloudy (2009),8,.8, 7215人评分  ,28,动画,"动画,短片,喜剧"
影片聚焦于逃脱于社会秩序之外的主人翁是如何在法律和道德的边缘建立起自己的“完美的世界”的，主题则是人生、自由和信仰。,克林特·伊斯特伍德,完美的世界 A Perfect World (1993),8,.8, 4722人评分  ,29,凯文·科斯特纳,"犯罪,剧情,惊悚"
继续以拯救生命、打击犯罪为己任的“蝙蝠侠”，遭遇到了最具威胁性的对手“小丑”，一个喜欢将自己的脸上涂满了油彩的犯罪专家。,克里斯托弗·诺兰,蝙蝠侠：黑暗骑士 The Dark Knight (2008),8,.7, 31503人评分  ,30,克里斯蒂安·贝尔,"动作,犯罪,剧情"
